"occasion","date","tag","species","section","length","weight","recap","mortality","fin_recap","f_occasion","julian"
3,2021-05-15,"ID900.226001167796","green_sunfish",10,82,9.4,"y","n","n","occ3",18762
1,2020-11-08,"ID900.226001167797","creek_chub",43,74,3.8,"n","n","n","occ1",18574
1,2020-11-08,"ID900.226001167798","bluegill",35,63,3.8,"n","n","n","occ1",18574
1,2020-11-08,"ID900.226001167799","bluegill",42,64,3.3,"n","n","n","occ1",18574
1,2020-11-04,"ID900.226001167800","creek_chub",12,93,9.6,"n","n","n","occ1",18570
1,2020-11-04,"ID900.226001167801","bluehead_chub",16,101,11.9,"n","n","n","occ1",18570
1,2020-11-04,"ID900.226001167802","creek_chub",20,104,11.8,"n","n","n","occ1",18570
2,2021-02-06,"ID900.226001167802","creek_chub",20,107,12.8,"y","n","n","occ2",18664
1,2020-11-04,"ID900.226001167803","creek_chub",20,117,16,"n","n","n","occ1",18570
1,2020-11-04,"ID900.226001167804","creek_chub",20,98,9.8,"n","n","n","occ1",18570
2,2021-02-06,"ID900.226001167804","creek_chub",22,100,10.8,"y","n","n","occ2",18664
3,2021-05-16,"ID900.226001167804","creek_chub",20,115,17.6,"y","n","n","occ3",18763
1,2020-11-04,"ID900.226001167805","bluehead_chub",12,131,24.5,"n","n","n","occ1",18570
1,2020-11-04,"ID900.226001167806","striped_jumprock",13,198,84.8,"n","n","n","occ1",18570
1,2020-11-04,"ID900.226001167807","creek_chub",20,99,11.2,"n","n","n","occ1",18570
1,2020-11-04,"ID900.226001167808","green_sunfish",12,87,10.4,"n","n","n","occ1",18570
3,2021-05-15,"ID900.226001167808","green_sunfish",12,104,19.3,"y","n","n","occ3",18762
1,2020-11-04,"ID900.226001167809","redbreast_sunfish",14,96,14.5,"n","n","n","occ1",18570
1,2020-11-07,"ID900.226001167810","creek_chub",26,96,8.3,"n","n","n","occ1",18573
1,2020-11-04,"ID900.226001167811","creek_chub",20,92,8.6,"n","n","n","occ1",18570
1,2020-11-07,"ID900.226001167812","green_sunfish",32,100,16.5,"n","n","n","occ1",18573
1,2020-11-04,"ID900.226001167813","bluehead_chub",12,127,22.9,"n","n","n","occ1",18570
1,2020-11-08,"ID900.226001167814","green_sunfish",35,82,9.6,"n","n","n","occ1",18574
2,2021-02-21,"ID900.226001167814","green_sunfish",35,85,10.2,"y","n","n","occ2",18679
1,2020-11-07,"ID900.226001167815","creek_chub",32,87,6.1,"n","n","n","occ1",18573
2,2021-02-21,"ID900.226001167815","creek_chub",30,89,6.8,"y","n","n","occ2",18679
4,2021-08-13,"ID900.226001167815","creek_chub",6,124,19.7,"y","n","n","occ4",18852
5,2021-11-13,"ID900.226001167815","creek_chub",10,135,22.9,"y","n","n","occ5",18944
1,2020-11-07,"ID900.226001167816","creek_chub",31,146,35.3,"n","n","n","occ1",18573
1,2020-11-04,"ID900.226001167817","creek_chub",20,96,10.2,"n","n","n","occ1",18570
3,2021-05-16,"ID900.226001167817","creek_chub",20,99,11.9,"y","n","n","occ3",18763
1,2020-11-07,"ID900.226001167818","bluehead_chub",29,99,11.6,"n","n","n","occ1",18573
4,2021-08-14,"ID900.226001167818","bluehead_chub",26,110,16.2,"y","n","n","occ4",18853
8,2022-08-06,"ID900.226001167818","bluehead_chub",24,133,28.3,"y","n","n","occ8",19210
1,2020-11-04,"ID900.226001167819","redbreast_sunfish",15,140,38.9,"n","n","n","occ1",18570
1,2020-11-08,"ID900.226001167820","bluehead_chub",37,113,16.7,"n","n","n","occ1",18574
